name,rating,genre,year,score,director,writer,star,country,budget,gross,runtime
Chaos Walking,PG-13,Fantasy,2021,5.7,Doug Liman,Patrick Ness,Tom Holland,United States,100000000,27075660,108
Jungle Cruise,PG-13,Adventure,2021,6.6,Jaume Collet-Serra,Michael Green,Dwayne Johnson,United States,200000000,210384144,127
Black Widow,PG-13,Super-hero,2021,6.7,Cate Shortland,Eric Pearson,Scarlett Johansson,United States,200000000,375474179,133
Malcolm & Marie,R,Drama,2021,6.6,Sam Levinson,Sam Levinson,Zendaya,United States,2500000,30000000,105
Shang-Chi and the Legend of the Ten Rings,PG-13,Fantasy,2021,7.5,Destin Daniel Cretton,Dave Callaham,Simu Liu,"United States, Australia",150000000,417919454,132
A Quiet Place: Part II,PG-13,Drama,2021,7.2,John Krasinski,John Krasinski,Emily Blunt,United States,61000000,296667589,96
The Marksman,PG-13,Action,2021,5.6,Robert Lorenz,Chris Charles,Liam Neeson,United States,23000000,21197274,107
The Tomorrow War,PG-13,Fantasy,2021,6.6,Chris McKay,Zach Dean,Chris Pratt,United States,200000000,19220000,140
Spiral: From the Book of Saw,R,Horror,2021,5.2,Darren Lynn Bousman,Josh Stolberg,Chris Rock,United States,20000000,39522047,93
The Conjuring: The Devil Made Me Do It,R,Horror,2021,6.3,Michael Chaves,David Leslie Johnson-McGoldrick,Vera Farmiga,United States,39000000,200271845,112
Mortal Kombat,R,Action,2021,6.1,Simon McQuoid,Greg Russo,Jessica McNamee,"Australia, United States",55000000,83508369,110
Space Jam: A New Legacy,PG,Comedy,2021,4.4,Malcolm D. Lee,Leo Benvenuti,Lebron James,United States,150000000,144003749,116
Tom and Jerry,PG,Comedy,2021,5.3,Tim Story,William Hanna,Chloë Grace Moretz,United States,79000000,132545984,101
Free Guy,PG-13,Comedy,2021,7.2,Shawn Levy,Matt Lieberman,Ryan Reynolds,United States,115000000,331500000,115
Luca,PG,Animation,2021,7.5,Enrico Casarosa,Enrico Casarosa,Jacob Tremblay,United States,200000000,49788012,95
Cruella,PG-13,Comedy,2021,7.4,Craig Gillespie,Dana Fox,Emma Stone,United States,100000000,228451555,134
The Suicide Squad,R,Action,2021,7.2,James Gunn,James Gunn,Margot Robbie,United States,185000000,167120232,132
Old,PG-13,Thriller,2021,5.8,M. Night Shyamalan,M. Night Shyamalan,Gael García Bernal,United States,18000000,90135949,121
Raya and the Last Dragon,PG,Animation,2021,7.3,Don Hall,Qui Nguyen,Awkwafina,United States,100000000,116682905,114
In the Heights,PG-13,Comedy,2021,7.3,Jon M. Chu,Quiara Alegría Hudes,Anthony Ramos,United States,55000000,43679828,143
Fast & Furious 9,PG-13,Action,2021,5.2,Justin Lin,Daniel Casey,Vin Diesel,United States,225000000,721077945,145
